x_col_pos,y_row_pos,x_col_vel,y_row_vel,x_col_acc,y_row_acc,space,r,fin,q,t,ep
2,1,1,1,0,0,F,0,True,0.0,0,-1
2,1,0,0,0,-1,F,0,True,0.0,0,-1
2,1,1,1,-1,-1,F,0,True,0.0,0,-1
2,1,0,-1,1,-1,F,0,True,0.0,0,-1
2,1,1,0,-1,0,F,0,True,0.0,0,-1
2,1,0,-1,-1,-1,F,0,True,0.0,0,-1
2,1,0,-1,-1,1,F,0,True,0.0,0,-1
2,1,1,1,1,1,F,0,True,0.0,0,-1
2,1,0,0,-1,1,F,0,True,0.0,0,-1
2,1,0,-1,0,1,F,0,True,0.0,0,-1
2,1,1,1,0,-1,F,0,True,0.0,0,-1
2,1,-1,-1,1,0,F,0,True,0.0,0,-1
2,1,-1,1,1,-1,F,0,True,0.0,0,-1
2,1,1,-1,1,1,F,0,True,0.0,0,-1
2,1,1,0,0,0,F,0,True,0.0,0,-1
2,1,-1,1,1,1,F,0,True,0.0,0,-1
2,1,-1,0,1,-1,F,0,True,0.0,0,-1
2,1,1,-1,-1,1,F,0,True,0.0,0,-1
2,1,-1,1,1,0,F,0,True,0.0,0,-1
2,1,1,-1,-1,0,F,0,True,0.0,0,-1
2,1,-1,1,-1,0,F,0,True,0.0,0,-1
2,1,1,-1,1,-1,F,0,True,0.0,0,-1
2,1,1,0,-1,1,F,0,True,0.0,0,-1
2,1,-1,1,-1,1,F,0,True,0.0,0,-1
2,1,0,1,-1,0,F,0,True,0.0,0,-1
2,1,0,0,-1,0,F,0,True,0.0,0,-1
2,1,-1,-1,0,0,F,0,True,0.0,0,-1
2,1,1,-1,0,1,F,0,True,0.0,0,-1
2,1,-1,0,0,1,F,0,True,0.0,0,-1
2,1,-1,0,1,1,F,0,True,0.0,0,-1
2,1,0,0,0,0,F,0,True,0.0,0,-1
2,1,0,1,1,1,F,0,True,0.0,0,-1
2,1,0,-1,0,-1,F,0,True,0.0,0,-1
2,1,1,-1,0,0,F,0,True,0.0,0,-1
2,1,1,-1,-1,-1,F,0,True,0.0,0,-1
2,1,-1,-1,-1,0,F,0,True,0.0,0,-1
2,1,0,-1,1,0,F,0,True,0.0,0,-1
2,1,0,0,0,1,F,0,True,0.0,0,-1
2,1,1,1,-1,0,F,0,True,0.0,0,-1
2,1,-1,-1,1,1,F,0,True,0.0,0,-1
2,1,-1,0,1,0,F,0,True,0.0,0,-1
2,1,-1,1,0,1,F,0,True,0.0,0,-1
2,1,0,-1,1,1,F,0,True,0.0,0,-1
2,1,0,-1,0,0,F,0,True,0.0,0,-1
2,1,1,1,1,0,F,0,True,0.0,0,-1
2,1,-1,-1,-1,-1,F,0,True,0.0,0,-1
2,1,0,1,1,0,F,0,True,0.0,0,-1
2,1,0,1,0,-1,F,0,True,0.0,0,-1
2,1,1,1,0,1,F,0,True,0.0,0,-1
2,1,0,0,-1,-1,F,0,True,0.0,0,-1
2,1,0,0,1,0,F,0,True,0.0,0,-1
2,1,0,1,0,1,F,0,True,0.0,0,-1
2,1,1,0,1,0,F,0,True,0.0,0,-1
2,1,-1,-1,0,-1,F,0,True,0.0,0,-1
2,1,-1,-1,0,1,F,0,True,0.0,0,-1
2,1,1,0,1,-1,F,0,True,0.0,0,-1
2,1,-1,1,0,0,F,0,True,0.0,0,-1
2,1,1,0,0,1,F,0,True,0.0,0,-1
